family, true positive percentage, number of testing samples
airinstaller, 0.0%, 4
allaple, 64.29%, 14
autoit, 0.0%, 26
badur, 100.0%, 3
binder, 0.0%, 3
bitmin, 0.0%, 2
brontok, 100.0%, 3
bublik, 0.0%, 2
chir, 80.0%, 5
ruskill, 0.0%, 1
eyestye, 100.0%, 3
cosmu, 0.0%, 60
darkkomet, 0.0%, 3
dealply, 30.23%, 43
delf, 0.0%, 7
dinwod, 0.0%, 103
dlhelper, 0.0%, 2
downloadsponsor, 0.0%, 16
dumpex, 0.0%, 2
eyestye, 100.0%, 3
flystudio, 0.0%, 9
fujacks, 0.0%, 2
gator, 0.0%, 13
hupigon, 0.0%, 9
installmonster, 0.0%, 81
jacard, 0.0%, 2
jaik, 0.0%, 5
jaiko, 0.0%, 2
kolabc, 0.0%, 10
laqma, 0.0%, 3
Lolyda.AT, 100.0%, 31
ludbaruma, 0.0%, 3
memery, 0.0%, 5
midie, 0.0%, 2
mira, 0.0%, 2
mydoom, 100.0%, 48
occamy, 0.0%, 2
picsys, 0.0%, 2
pioneer, 37.5%, 8
pluto, 0.0%, 8
qhost, 0.0%, 126
qqpass, 0.0%, 31
razy, 0.0%, 2
regrun, 100.0%, 19
ruskill, 0.0%, 1
safebytes, 0.0%, 9
sality, 0.0%, 13
scar, 0.0%, 2
sfone, 0.0%, 46
sitehijack, 0.0%, 3
skeeyah, 0.0%, 17
softpulse, 0.0%, 3
swisyn, 50.0%, 2
sytro, 0.0%, 8
tiggre, 0.0%, 7
tweakbit, 0.0%, 3
upatre, 53.849999999999994%, 13
urelas, 0.0%, 4
ursu, 0.0%, 3
viking, 21.43%, 14
virut, 0.0%, 9
vittalia, 100.0%, 2
vobfus, 66.67%, 3
vtflooder, 8.33%, 36
wapomi, 10.61%, 132
winactivator, 0.0%, 2
xtrat, 100.0%, 4
zegost, 100.0%, 7
zpevdo, 33.33%, 3
zusy, 14.29%, 7
